experiment_id,method,problem_id,dataset,complexity,word_count,equation_steps,requires_reasoning,runtime_seconds,memory_mb,peak_memory_mb,accuracy,efficiency_score,gpu_utilization,inference_steps,timestamp
ird__cv_3838,IRD + CV,prob_7476,SVAMP,L2,118,5,True,3.167,339.7,489.8,0.738,0.303,0.808,16,2025-06-18T06:15:44.359752
ird__cv_4188,IRD + CV,prob_3082,Math23K,L1,68,2,False,1.368,261.2,325.1,0.792,0.611,0.809,3,2025-06-12T06:31:03.496128
mlr__cv_1994,MLR + CV,prob_8742,SVAMP,L1,62,3,False,1.669,307.9,427.3,0.8,0.629,0.759,5,2025-07-07T08:42:33.449854
ird__mlr_1021,IRD + MLR,prob_8317,MathQA,L3,162,6,True,6.093,474.8,623.9,0.672,0.254,0.848,25,2025-06-20T11:42:49.376725
mlr__cv_2760,MLR + CV,prob_7604,SVAMP,L3,138,9,True,6.432,427.9,510.6,0.571,0.156,0.787,39,2025-06-10T02:18:34.578258
ird__cv_3412,IRD + CV,prob_2749,ASDiv,L1,64,2,False,2.007,307.3,451.8,0.849,0.546,0.777,3,2025-06-08T16:59:19.127864
mlr__cv_5578,MLR + CV,prob_2773,DIR-MWP-Test,L3,118,6,True,4.926,438.5,628.1,0.671,0.172,0.938,25,2025-06-26T04:23:27.195438
ird__mlr_6108,IRD + MLR,prob_11695,GSM8K,L2,106,3,True,3.239,346.8,486.3,0.722,0.305,0.879,13,2025-06-24T21:25:59.456973
mlr__cv_4877,MLR + CV,prob_6808,MATH,L0,33,2,False,1.449,244.2,298.6,0.775,0.661,0.921,1,2025-06-08T10:50:45.700621
ird__mlr_4340,IRD + MLR,prob_10924,MATH,L0,49,2,False,1.086,251.3,371.3,0.845,0.871,0.905,1,2025-06-12T17:39:52.441758
ird__cv_6963,IRD + CV,prob_6023,MATH,L0,37,1,False,1.192,241.9,318.2,0.876,0.822,0.912,2,2025-06-29T22:34:14.268978
ird__mlr_0352,IRD + MLR,prob_1478,MathQA,L2,81,4,True,3.096,354.4,420.3,0.718,0.301,0.879,17,2025-06-05T06:53:29.166193
ird__cv_1146,IRD + CV,prob_9450,ASDiv,L1,90,3,False,2.19,307.2,437.3,0.883,0.441,0.739,2,2025-07-09T22:30:43.841136
ird__mlr_2150,IRD + MLR,prob_2627,SVAMP,L3,169,9,True,7.331,434.5,589.6,0.567,0.157,0.8,44,2025-06-23T18:29:39.744314
ird__cv_1578,IRD + CV,prob_10362,MATH,L1,71,3,True,2.074,295.8,438.6,0.785,0.485,0.754,8,2025-07-08T11:26:35.540960
ird__mlr_1447,IRD + MLR,prob_1110,MathQA,L0,28,1,True,0.797,248.6,286.8,0.881,1.135,0.749,2,2025-06-21T09:29:40.785792
ird__mlr__cv_0827,IRD + MLR + CV,prob_8796,Math23K,L1,60,3,False,2.787,356.2,494.7,0.852,0.306,0.911,5,2025-06-07T01:34:20.093869
ird__mlr_0183,IRD + MLR,prob_7564,ASDiv,L2,130,6,True,4.462,355.3,532.6,0.768,0.227,0.892,18,2025-07-08T08:31:25.945135
mlr__cv_3049,MLR + CV,prob_4922,MathQA,L0,39,2,False,1.263,239.4,327.2,0.902,0.856,0.757,3,2025-06-27T11:03:44.933586
ird__mlr_2406,IRD + MLR,prob_8593,MATH,L3,135,8,True,6.724,480.8,585.7,0.656,0.139,0.935,37,2025-06-22T08:06:36.046098
mlr__cv_4604,MLR + CV,prob_7591,MATH,L2,103,6,True,3.621,328.4,410.4,0.733,0.3,0.907,20,2025-06-17T12:41:22.905888
ird__mlr__cv_4455,IRD + MLR + CV,prob_8397,MAWPS,L2,82,3,True,3.296,405.6,516.5,0.801,0.259,0.918,14,2025-07-06T06:45:27.976327
ird__mlr_0860,IRD + MLR,prob_8553,MAWPS,L3,137,8,True,6.458,439.4,591.5,0.612,0.182,0.796,38,2025-06-17T10:11:34.695297
ird__mlr_3710,IRD + MLR,prob_9205,MAWPS,L0,52,1,False,1.234,275.9,386.4,0.838,0.844,0.728,1,2025-06-23T00:31:19.446283
mlr__cv_1700,MLR + CV,prob_0383,MAWPS,L3,139,9,True,6.487,403.6,604.9,0.638,0.122,0.88,41,2025-06-15T20:22:35.073942
ird__cv_2594,IRD + CV,prob_6580,MATH,L0,53,2,False,0.912,250.4,339.7,0.864,1.089,0.765,2,2025-06-07T02:58:54.830429
ird__mlr_4514,IRD + MLR,prob_3915,Math23K,L0,44,1,False,1.552,291.8,352.1,0.856,0.702,0.897,2,2025-06-29T09:14:30.744308
ird__mlr_6880,IRD + MLR,prob_8619,Math23K,L0,52,1,False,1.566,253.8,346.9,0.873,0.724,0.927,1,2025-06-21T02:32:55.095054
ird__mlr_2533,IRD + MLR,prob_2370,MathQA,L2,119,5,True,3.566,375.5,480.8,0.813,0.351,0.848,16,2025-06-11T05:03:09.908514
ird__cv_1261,IRD + CV,prob_8216,SVAMP,L2,111,4,True,3.574,333.2,393.4,0.799,0.295,0.936,13,2025-06-22T20:17:18.016674
mlr__cv_0731,MLR + CV,prob_11490,MAWPS,L3,127,8,True,5.627,438.1,654.0,0.67,0.21,0.911,33,2025-06-21T14:50:04.333569
ird__cv_0420,IRD + CV,prob_11814,MathQA,L1,55,4,False,2.145,271.5,399.3,0.755,0.528,0.795,2,2025-07-05T23:49:49.140821
ird__mlr_2030,IRD + MLR,prob_4380,SVAMP,L3,118,6,True,5.359,474.6,572.0,0.647,0.152,0.94,30,2025-06-21T05:10:27.007524
mlr__cv_1600,MLR + CV,prob_6920,MathQA,L3,118,8,True,5.731,430.4,500.7,0.688,0.159,0.826,33,2025-06-29T16:41:07.020257
ird__mlr_2530,IRD + MLR,prob_10861,GSM8K,L1,59,2,True,2.04,279.2,341.1,0.867,0.516,0.914,8,2025-07-04T04:28:59.446822
ird__mlr__cv_3036,IRD + MLR + CV,prob_11400,MAWPS,L3,127,8,True,8.03,530.8,746.6,0.661,0.187,0.792,45,2025-06-14T08:53:57.602172
mlr__cv_0604,MLR + CV,prob_11056,Math23K,L1,50,4,True,1.566,286.8,370.8,0.776,0.657,0.712,9,2025-06-23T05:21:31.543046
mlr__cv_6638,MLR + CV,prob_8711,MAWPS,L2,86,5,True,3.134,335.0,387.8,0.767,0.303,0.77,18,2025-07-09T05:20:52.303509
mlr__cv_0350,MLR + CV,prob_11714,MAWPS,L2,100,5,True,3.392,328.4,483.3,0.769,0.306,0.826,18,2025-07-09T19:30:55.801576
ird__cv_6252,IRD + CV,prob_2970,ASDiv,L0,33,2,False,1.583,235.6,285.3,0.881,0.68,0.759,3,2025-06-18T06:52:12.100790
ird__cv_6099,IRD + CV,prob_6918,DIR-MWP-Test,L2,115,6,True,4.005,375.9,442.1,0.721,0.251,0.726,16,2025-06-13T19:42:54.789195
ird__mlr__cv_6374,IRD + MLR + CV,prob_4511,DIR-MWP-Test,L1,67,2,False,2.344,336.1,440.9,0.777,0.454,0.895,1,2025-06-18T11:08:38.079984
ird__cv_0422,IRD + CV,prob_4995,Math23K,L3,141,7,True,5.595,466.1,653.1,0.657,0.225,0.71,30,2025-06-10T00:45:11.934744
ird__mlr_1595,IRD + MLR,prob_4319,DIR-MWP-Test,L3,119,5,True,5.003,434.0,530.0,0.617,0.282,0.816,23,2025-06-18T10:47:24.814735
mlr__cv_6531,MLR + CV,prob_9653,GSM8K,L2,116,6,True,3.337,369.1,500.7,0.718,0.365,0.917,20,2025-06-21T07:37:05.496976
ird__mlr_1504,IRD + MLR,prob_6998,DIR-MWP-Test,L0,34,1,False,1.437,240.5,293.5,0.857,0.755,0.83,2,2025-07-09T07:32:18.784604
mlr__cv_3132,MLR + CV,prob_2949,ASDiv,L0,33,2,False,1.34,234.7,294.6,0.906,0.817,0.768,1,2025-06-08T14:59:30.385973
mlr__cv_2949,MLR + CV,prob_0709,GSM8K,L0,52,1,False,0.983,262.8,378.2,0.814,0.945,0.82,1,2025-07-01T15:49:58.417849
ird__mlr_4362,IRD + MLR,prob_4668,MathQA,L3,157,9,True,6.995,437.2,513.9,0.561,0.176,0.835,44,2025-06-05T17:55:43.360854
ird__mlr_4916,IRD + MLR,prob_2268,MAWPS,L2,109,4,True,3.736,375.2,448.2,0.777,0.237,0.873,13,2025-07-04T11:14:21.739548
mlr__cv_5314,MLR + CV,prob_7698,MATH,L1,85,4,False,1.749,306.5,398.5,0.769,0.464,0.791,7,2025-06-27T02:02:05.393841
ird__mlr_5854,IRD + MLR,prob_8327,Math23K,L1,51,3,True,2.064,313.2,382.0,0.789,0.525,0.881,10,2025-06-06T08:25:15.178585
ird__cv_5743,IRD + CV,prob_11323,Math23K,L2,83,3,True,2.417,351.9,476.8,0.787,0.395,0.899,7,2025-06-17T04:00:09.327872
ird__cv_6994,IRD + CV,prob_0641,MATH,L3,139,8,True,6.565,447.3,610.1,0.645,0.174,0.749,35,2025-06-21T09:20:03.484047
ird__mlr_0626,IRD + MLR,prob_1553,Math23K,L0,33,2,False,1.633,242.5,324.3,0.885,0.727,0.913,1,2025-06-13T19:37:47.023380
mlr__cv_6563,MLR + CV,prob_6582,GSM8K,L2,105,6,True,3.431,362.9,511.2,0.743,0.272,0.877,21,2025-07-06T15:11:17.520121
ird__mlr__cv_0095,IRD + MLR + CV,prob_4695,DIR-MWP-Test,L0,45,1,False,1.672,302.1,376.2,0.828,0.536,0.716,1,2025-06-27T02:04:08.051421
ird__cv_3667,IRD + CV,prob_10340,ASDiv,L3,161,9,True,6.712,433.9,598.4,0.671,0.181,0.891,35,2025-06-16T04:24:59.367320
ird__mlr__cv_3901,IRD + MLR + CV,prob_6402,MAWPS,L1,80,2,True,2.498,334.9,427.6,0.822,0.384,0.782,6,2025-07-04T23:08:53.776179
ird__mlr__cv_6181,IRD + MLR + CV,prob_8924,ASDiv,L1,79,3,False,2.526,350.6,406.6,0.794,0.393,0.701,5,2025-06-24T18:03:56.057848
ird__mlr_0010,IRD + MLR,prob_5039,MATH,L1,59,3,False,2.098,303.8,349.5,0.815,0.467,0.705,4,2025-07-05T18:07:34.958537
ird__mlr_3949,IRD + MLR,prob_1101,MathQA,L1,64,2,False,2.044,292.2,375.2,0.762,0.545,0.804,3,2025-07-01T17:20:04.847302
mlr__cv_0432,MLR + CV,prob_8806,GSM8K,L3,161,8,True,6.041,432.7,530.6,0.558,0.177,0.867,33,2025-06-20T20:52:55.064077
ird__mlr_6778,IRD + MLR,prob_5153,GSM8K,L3,130,6,True,5.724,479.7,638.4,0.642,0.21,0.741,28,2025-06-09T15:04:58.759935
ird__cv_2638,IRD + CV,prob_3984,MATH,L0,26,2,True,1.055,238.5,315.3,0.869,0.984,0.793,3,2025-06-27T22:12:16.273741
ird__mlr_0110,IRD + MLR,prob_5728,SVAMP,L0,53,1,False,1.041,290.7,349.3,0.911,0.971,0.937,1,2025-07-03T14:01:50.645707
ird__mlr_5813,IRD + MLR,prob_2898,MathQA,L1,50,3,True,2.186,285.6,343.0,0.881,0.472,0.76,10,2025-07-06T03:02:24.416857
mlr__cv_5423,MLR + CV,prob_0518,MathQA,L2,126,5,True,3.615,375.7,537.9,0.683,0.363,0.702,16,2025-06-15T00:40:27.792554
mlr__cv_4059,MLR + CV,prob_6671,MathQA,L3,114,6,True,4.928,419.6,516.2,0.583,0.199,0.711,25,2025-06-20T05:57:21.875162
mlr__cv_0738,MLR + CV,prob_2424,MATH,L3,144,5,True,5.139,421.0,547.8,0.677,0.193,0.895,24,2025-06-10T22:33:50.134306
mlr__cv_2291,MLR + CV,prob_8069,MAWPS,L2,128,3,True,3.323,359.0,487.4,0.843,0.274,0.842,7,2025-06-19T06:16:38.943222
mlr__cv_4249,MLR + CV,prob_10222,SVAMP,L3,137,8,True,5.689,431.9,497.2,0.55,0.137,0.884,34,2025-06-15T01:07:44.573546
ird__mlr__cv_2755,IRD + MLR + CV,prob_2095,ASDiv,L0,44,2,False,1.455,271.0,335.0,0.921,0.694,0.824,5,2025-06-28T08:06:19.313017
ird__mlr__cv_3697,IRD + MLR + CV,prob_6999,Math23K,L1,70,2,True,2.579,337.8,495.7,0.785,0.322,0.941,7,2025-07-03T01:30:16.393146
ird__mlr_2244,IRD + MLR,prob_11387,ASDiv,L0,29,1,False,1.148,250.6,350.4,0.933,0.843,0.797,1,2025-06-19T16:10:00.917072
mlr__cv_1950,MLR + CV,prob_9187,Math23K,L0,37,2,False,1.218,257.3,381.9,0.792,0.79,0.842,2,2025-07-05T13:51:30.469169
ird__cv_1775,IRD + CV,prob_10410,MAWPS,L3,114,6,True,4.875,420.4,596.8,0.704,0.298,0.933,24,2025-06-16T08:17:08.109515
ird__mlr__cv_1628,IRD + MLR + CV,prob_5086,MAWPS,L0,34,1,False,1.82,285.7,354.4,0.857,0.476,0.765,1,2025-06-05T02:01:01.479550
ird__mlr__cv_5835,IRD + MLR + CV,prob_6934,MATH,L0,28,2,True,1.619,319.7,429.6,0.896,0.586,0.905,6,2025-07-08T04:52:33.274839
ird__mlr__cv_0128,IRD + MLR + CV,prob_2951,DIR-MWP-Test,L3,163,6,True,7.847,534.3,705.1,0.598,0.167,0.874,32,2025-06-27T09:15:07.605081
ird__mlr__cv_3713,IRD + MLR + CV,prob_2651,MAWPS,L0,29,2,False,1.233,328.8,465.6,0.853,0.789,0.909,4,2025-06-09T08:33:58.648771
ird__mlr_0203,IRD + MLR,prob_5632,SVAMP,L0,54,2,False,1.12,252.5,363.5,0.858,0.847,0.844,3,2025-07-04T20:02:05.870696
mlr__cv_5112,MLR + CV,prob_3331,DIR-MWP-Test,L1,74,4,True,2.196,289.2,387.1,0.85,0.503,0.794,12,2025-06-26T20:57:05.905130
mlr__cv_1822,MLR + CV,prob_9054,ASDiv,L3,119,7,True,5.221,451.1,643.2,0.594,0.162,0.87,32,2025-06-20T09:02:25.619008
ird__cv_2988,IRD + CV,prob_2336,Math23K,L3,131,9,True,6.124,464.2,604.6,0.617,0.189,0.744,37,2025-06-27T23:34:18.678131
ird__cv_4175,IRD + CV,prob_10572,GSM8K,L3,143,7,True,5.68,468.3,572.0,0.671,0.175,0.702,25,2025-06-13T16:12:35.761137
mlr__cv_2510,MLR + CV,prob_5793,MathQA,L3,113,7,True,4.975,440.9,661.0,0.552,0.168,0.846,33,2025-07-09T21:13:19.693422
ird__cv_5992,IRD + CV,prob_6803,SVAMP,L2,127,4,True,3.441,371.6,457.7,0.813,0.408,0.762,11,2025-06-16T00:54:23.927529
mlr__cv_4131,MLR + CV,prob_7582,SVAMP,L3,153,9,True,6.703,434.8,560.1,0.633,0.27,0.783,39,2025-06-20T13:18:23.086499
ird__cv_0117,IRD + CV,prob_8276,Math23K,L3,157,6,True,5.434,430.6,499.4,0.695,0.192,0.937,21,2025-06-05T05:20:43.086881
ird__mlr_0582,IRD + MLR,prob_9637,MathQA,L0,32,2,True,1.237,269.5,372.1,0.88,0.828,0.871,6,2025-06-11T03:26:39.211306
mlr__cv_1750,MLR + CV,prob_10233,MAWPS,L2,84,4,True,2.947,350.3,458.2,0.711,0.308,0.741,15,2025-06-23T01:42:00.996208
mlr__cv_4506,MLR + CV,prob_10848,MathQA,L2,86,3,True,2.961,319.4,367.7,0.742,0.382,0.912,11,2025-06-18T09:07:55.723352
ird__cv_1193,IRD + CV,prob_1737,ASDiv,L0,55,1,False,1.31,254.3,295.7,0.866,0.692,0.811,1,2025-06-23T03:33:14.724860
ird__mlr_2408,IRD + MLR,prob_6554,ASDiv,L0,27,2,False,1.249,262.5,372.4,0.911,0.805,0.831,1,2025-07-03T06:38:50.999671
mlr__cv_1121,MLR + CV,prob_5053,ASDiv,L0,58,2,False,1.073,274.1,349.0,0.822,0.841,0.717,4,2025-07-03T22:48:53.650051
ird__mlr_6752,IRD + MLR,prob_6321,GSM8K,L0,23,2,False,1.015,267.1,313.5,0.793,0.909,0.803,1,2025-06-06T05:32:52.530630
ird__mlr__cv_3993,IRD + MLR + CV,prob_0299,GSM8K,L3,157,6,True,8.156,542.2,717.7,0.611,0.161,0.938,32,2025-06-10T16:56:59.036174
ird__mlr__cv_0864,IRD + MLR + CV,prob_10080,MathQA,L2,91,6,True,4.783,411.3,592.3,0.783,0.271,0.817,25,2025-06-12T13:01:42.009702
ird__cv_2430,IRD + CV,prob_8026,GSM8K,L2,113,3,True,3.327,366.4,469.6,0.843,0.279,0.757,11,2025-06-09T18:43:06.590333
mlr__cv_4372,MLR + CV,prob_9687,GSM8K,L3,129,9,True,5.749,444.0,571.7,0.601,0.176,0.906,39,2025-06-20T01:04:57.246014
ird__mlr__cv_2507,IRD + MLR + CV,prob_0841,DIR-MWP-Test,L0,32,1,False,1.348,321.2,377.6,0.945,0.796,0.728,1,2025-06-11T02:36:22.385934
ird__mlr__cv_6738,IRD + MLR + CV,prob_7099,DIR-MWP-Test,L1,83,4,True,2.65,354.8,471.7,0.835,0.411,0.79,11,2025-06-28T21:02:00.548339
ird__cv_6602,IRD + CV,prob_7294,MAWPS,L2,107,5,True,3.515,377.5,500.1,0.814,0.34,0.816,17,2025-06-23T01:14:25.426121
mlr__cv_2522,MLR + CV,prob_9955,MAWPS,L1,52,3,False,1.575,290.7,359.1,0.727,0.628,0.903,3,2025-06-28T17:32:52.850900
ird__mlr_2294,IRD + MLR,prob_6727,SVAMP,L3,169,5,True,5.525,447.7,634.4,0.609,0.292,0.783,23,2025-06-15T03:53:49.791076
mlr__cv_2271,MLR + CV,prob_3307,MathQA,L3,143,7,True,5.658,431.6,563.0,0.652,0.189,0.915,31,2025-06-11T20:46:38.909558
ird__mlr__cv_0276,IRD + MLR + CV,prob_9295,ASDiv,L2,82,3,True,4.02,433.3,498.9,0.824,0.346,0.72,14,2025-06-09T21:53:12.288110
mlr__cv_4065,MLR + CV,prob_11795,GSM8K,L1,73,4,False,1.635,291.1,354.0,0.741,0.558,0.751,8,2025-07-09T08:30:47.396923
ird__mlr_3238,IRD + MLR,prob_11542,DIR-MWP-Test,L0,53,1,False,1.502,251.3,305.1,0.899,0.775,0.838,1,2025-07-02T22:23:57.196998
ird__mlr__cv_6780,IRD + MLR + CV,prob_3615,DIR-MWP-Test,L0,54,2,False,1.814,304.2,350.9,0.925,0.603,0.866,1,2025-06-17T16:14:59.817787
mlr__cv_4019,MLR + CV,prob_8991,MathQA,L2,80,4,True,2.795,317.5,374.2,0.82,0.349,0.746,12,2025-06-07T11:19:51.726394
ird__mlr__cv_6560,IRD + MLR + CV,prob_5165,ASDiv,L3,117,5,True,6.557,549.4,746.9,0.708,0.157,0.873,27,2025-06-23T11:10:26.948198
ird__cv_4013,IRD + CV,prob_2072,DIR-MWP-Test,L3,144,7,True,6.287,463.8,551.2,0.625,0.134,0.778,28,2025-07-07T01:06:39.841024
ird__cv_6650,IRD + CV,prob_11053,Math23K,L1,53,2,True,1.299,277.1,357.9,0.8,0.756,0.895,3,2025-06-18T16:00:48.613298
ird__mlr__cv_1640,IRD + MLR + CV,prob_4903,DIR-MWP-Test,L2,89,6,True,4.514,434.1,565.9,0.789,0.177,0.727,22,2025-06-08T18:30:28.671885
ird__mlr_4872,IRD + MLR,prob_10974,MAWPS,L2,116,6,True,4.043,388.0,580.6,0.855,0.389,0.826,18,2025-06-09T03:58:10.215722
ird__cv_2251,IRD + CV,prob_9508,MATH,L2,87,3,True,2.414,360.1,422.6,0.817,0.422,0.827,11,2025-07-09T15:44:14.301991
ird__mlr__cv_2210,IRD + MLR + CV,prob_10927,GSM8K,L0,32,1,False,1.726,323.3,392.7,0.92,0.574,0.89,2,2025-06-20T09:48:34.886066
mlr__cv_3493,MLR + CV,prob_2138,DIR-MWP-Test,L3,163,9,True,6.595,454.3,617.7,0.56,0.241,0.895,38,2025-06-16T14:23:12.532037
ird__mlr_3313,IRD + MLR,prob_5227,Math23K,L2,93,6,True,3.781,369.5,540.3,0.75,0.313,0.702,23,2025-06-18T03:16:15.895674
mlr__cv_5118,MLR + CV,prob_6724,MAWPS,L3,125,9,True,6.345,432.5,630.9,0.648,0.241,0.757,40,2025-06-24T18:40:39.703119
mlr__cv_3073,MLR + CV,prob_1955,MATH,L2,117,6,True,3.98,374.1,445.9,0.722,0.258,0.856,19,2025-06-25T20:16:20.283800
ird__mlr__cv_2740,IRD + MLR + CV,prob_1851,MathQA,L1,51,3,False,2.698,327.7,418.6,0.792,0.374,0.812,7,2025-06-13T17:26:06.582640
ird__cv_1920,IRD + CV,prob_1113,GSM8K,L1,50,4,False,2.253,305.4,358.7,0.811,0.493,0.753,7,2025-07-06T05:56:22.229600
